file_name,Soma_surface,Soma_Surface$Total_sum,Surface$Total_sum,Volume$Total_sum,N_stems$Total_sum,N_bifs$Total_sum,N_branch$Total_sum,Width$Maximum,Height$Maximum,Depth$Maximum,Diameter$Average,EucDistance$Maximum,EucDistance$Total_sum,PathDistance$Maximum,PathDistance$Total_sum,Branch_Order$Maximum,Branch_Order$Average,Contraction$Average,Contraction$Maximum,Fragmentation$Average,Fragmentation$Maximum,Partition_asymmetry$Average,Pk_classic$Average,Pk_classic$Maximum,Bif_ampl_local$Average,Bif_ampl_local$Total_sum,Fractal_Dim$Total_sum,Fractal_Dim$Average,Bif_ampl_remote$Average,Bif_ampl_remote$Maximum,Length$Total_sum,Length$Average,Rall_Power$Average,cell_name,cell_type1,Soma_Width,Soma_Height
121-2-2.CNG.swc,13841.2,13841.2,6904.56,5770.93,6,29,64,233.79,342.27,98.76,0.693195,269.837,36240.4,345.728,46373.8,5,2.8274,0.889308,1,5.61538,27,0.528736,1.67729,2,72.9726,2043.23,35.9482,1.02709,64.7897,120.317,3263.26,8.965,0.378,121-2-2,pyramidal,50.79,68.8
121-2-3.CNG.swc,16985.6,16985.6,6096.52,6812.66,6,28,62,126.37,231.21,100.15,0.760666,176.309,21204.7,214.09,27213.2,5,2.4404,0.909687,1,4.79365,20,0.435714,1.67372,2,63.782,1722.11,31.7485,1.02415,54.0971,113.888,2492.42,8.28047,0.422,121-2-3,pyramidal,63.69,52.75
121-2-4.CNG.swc,20787.5,20787.5,7999.15,7713.47,5,31,67,249.99,414.66,108.78,0.650269,265.697,45979.3,323.203,64199.5,7,3.34746,0.879706,1,6.94118,26,0.489247,1.78634,2,69.1586,2074.76,40.0285,1.02637,58.4298,118.786,4011.13,8.5162,0.355,121-2-4,pyramidal,80.75,46.33
121-2-5.CNG.swc,28192.2,28192.2,7989.16,8897.31,7,21,49,294.63,439.89,84.09,0.685706,297.044,50125.3,369.783,60404.5,4,2.32598,0.912577,1,8.16,35,0.563492,1.43596,2,56.027,1120.54,26.6949,1.02673,55.0478,84.8658,3774.79,9.27466,0.423333,121-2-5,pyramidal,100.99,83.48
121-2-6.CNG.swc,20202.7,20202.7,7982.21,7590.46,5,21,47,457.96,306.41,93.02,0.704289,264.789,42884.3,322.985,51924.6,5,2.43251,0.92457,1,7.5625,33,0.47381,1.64581,2,56.1886,1123.77,29.473,1.01631,46.5263,79.3684,3604.44,9.95702,0.39125,121-2-6,pyramidal,82.14,159.63
121-2-7.CNG.swc,16062.9,16062.9,6759.76,5929.39,6,23,52,345.96,254.58,104.99,0.678132,262.062,38457.3,303.685,46726.4,5,2.64672,0.933941,1,6.62264,35,0.512077,1.65013,2,72.4878,1594.73,26.5292,1.02035,62.8879,136.442,3223.73,9.21066,0.46625,121-2-7,pyramidal,64.82,78.39
121-2-8.CNG.swc,28467.1,28467.1,7903.6,9592.68,7,23,53,401.96,340.77,108.47,0.68015,279.915,48233.1,340.794,57893.3,5,2.87982,0.917487,1,8.16667,47,0.550725,1.59957,2,53.6409,1180.1,35.6993,1.01998,53.6536,120.49,3350.52,7.61481,0.409,121-2-8,pyramidal,92.66,88.07
121-2-9.CNG.swc,21014.2,21014.2,8163.62,7406.05,7,25,57,385.9,300.58,106.96,0.642374,281.352,59038.3,337.429,70538.6,5,2.52421,0.921998,1,8.18966,34,0.462222,1.63263,2,63.5497,1525.19,33.7965,1.02414,52.0562,85.4095,3994.36,8.42693,0.41,121-2-9,pyramidal,86.9,125.23
121-3-1.CNG.swc,18203.5,18203.5,7806.4,7223.57,6,25,56,364.47,283.01,102.57,0.615858,269.693,50684.7,314.447,63603.2,4,2.58776,0.902791,1,8.59649,40,0.353333,1.70012,2,75.5238,1812.57,35.0371,1.0305,61.4023,109.794,3682.81,7.53132,0.37625,121-3-1,pyramidal,59.52,163.29
121-3-10.CNG.swc,54852.2,54852.2,9429.34,16775.2,5,16,37,374.93,625.66,96.65,0.727601,403.202,67040,450.249,75585.8,5,3.23077,0.933438,1,10.9474,53,0.495833,1.52317,2,66.5508,998.261,22.409,1.01859,58.5663,92.8811,3515.79,8.47177,0.58625,121-3-10,pyramidal,156.74,93.12
121-3-2.CNG.swc,31202,31202,10631.5,11485,9,30,69,406.03,311.52,110.14,0.659575,283.178,67057.7,380.812,84867.7,4,2.36308,0.883046,1,9.28571,43,0.410317,1.5124,2,64.3899,1867.31,46.2825,1.0285,62.8315,125.09,4660.81,7.18153,0.415,121-3-2,pyramidal,122.34,130.33
121-3-3.CNG.swc,15884.2,15884.2,7813.85,6088.12,6,24,54,407.7,290.39,102.56,0.601318,282.476,57002.8,352.775,70815.4,6,2.63673,0.882417,1,8.90909,37,0.371429,1.58638,2,70.0353,1610.81,30.7949,1.0265,62.177,138.793,4123.05,8.43159,0.454,121-3-3,pyramidal,38.89,86.23
121-3-4.CNG.swc,28620.3,28620.3,10546.7,10446.5,6,28,62,309.31,428.98,110.9,0.59535,345.731,80269,425.993,100626,5,2.5712,0.902523,1,9.92063,43,0.391497,1.63403,2,52.8987,1428.26,38.9936,1.02615,48.5381,95.279,5272.46,8.44945,0.389,121-3-4,pyramidal,135.51,47.71
121-3-5.CNG.swc,28903.5,28903.5,7844.19,9405.04,8,25,58,304.71,332.64,98.93,0.733156,284.238,45194.4,341.088,51598,3,2.11852,0.935516,1,6.86441,31,0.421333,1.50133,2,62.3994,1497.58,30.5847,1.01949,57.2593,120.033,3454.2,8.55,0.469286,121-3-5,pyramidal,120.43,61.92
121-3-6.CNG.swc,29539.9,29539.9,10055.6,10285.6,7,28,63,389.99,344.02,86.96,0.608353,271.108,65409,309.338,80563.2,4,2.42857,0.917733,1,9.29688,39,0.352381,1.59843,2,64.8655,1751.37,39.9725,1.02494,62.3559,101.496,4833.78,8.13767,0.3775,121-3-6,pyramidal,93.32,143.11
121-3-7.CNG.swc,36460.1,36460.1,9692.8,12090.3,7,31,69,463.47,234.4,106.35,0.625739,315.027,64620.4,356.551,79209,5,2.79606,0.910899,1,7.98571,33,0.368561,1.59933,2,64.0499,1921.5,43.1692,1.02784,54.4499,102.383,4508.37,8.07952,0.455714,121-3-7,pyramidal,52.97,88.53
121-3-8.CNG.swc,26433.8,26433.8,9975.46,9670.99,9,23,55,342.24,374.74,120.9,0.655363,288.269,67935.1,344.036,79430.3,4,2.10313,0.929469,1,9.69643,32,0.431884,1.36586,2,61.4345,1351.56,35.6832,1.01952,49.9363,109.218,4579.4,8.44909,0.4275,121-3-8,pyramidal,121.62,77.52
121-3-9.CNG.swc,35366.5,35366.5,7873.07,11574.6,6,19,44,330.94,390.36,81.51,0.763935,274.985,40589.8,319.765,49164.4,3,2.24731,0.918098,1,8.26667,34,0.438596,1.51052,2,63.6916,1146.45,26.5951,1.02289,63.1714,100.364,2973.84,8.01574,0.391,121-3-9,pyramidal,152.37,104.58
